5x5
Epoch, Winner, WinnerStrategy, Player, Opponent, playerStrategy, opponentStrategy, randomAmount, greedyAmount, heuristicsAmount, shortestChainAmount, doubleDealingAmount
3, Sachiko, doubleDealing, Leticia, Sachiko, doubleDealing, doubleDealing, 0, 0, 13, 19, 68
3, Kermit, shortestChain, Kermit, David, shortestChain, doubleDealing, 0, 0, 13, 19, 68
3, Chin, doubleDealing, Chin, Emerson, doubleDealing, shortestChain, 0, 0, 13, 20, 67
3, Rudolph, heuristic, Dong, Rudolph, doubleDealing, heuristic, 0, 0, 13, 19, 68
3, Jerica, doubleDealing, Jerica, Alonso, doubleDealing, doubleDealing, 0, 0, 14, 19, 67
3, Haley, doubleDealing, Artie, Haley, doubleDealing, doubleDealing, 0, 0, 14, 19, 67
3, Garland, doubleDealing, Jerilyn, Garland, shortestChain, doubleDealing, 0, 0, 14, 19, 67
3, Magan, heuristic, Magan, Elva, heuristic, heuristic, 0, 0, 14, 18, 68
3, Marybelle, doubleDealing, Cupid, Marybelle, shortestChain, doubleDealing, 0, 0, 14, 18, 68
3, Bobby, heuristic, Bobby, Franklin, heuristic, heuristic, 0, 0, 14, 17, 69
3, None, None, Laurence, Ellyn, shortestChain, shortestChain, 0, 0, 14, 17, 69
3, Merissa, doubleDealing, Merissa, Porter, doubleDealing, doubleDealing, 0, 0, 14, 17, 69
3, None, None, Magaly, Madusa, doubleDealing, shortestChain, 0, 0, 14, 17, 69
3, Maura, doubleDealing, Maura, Pat, doubleDealing, shortestChain, 0, 0, 14, 17, 69
3, Lasandra, shortestChain, Lynn, Lasandra, doubleDealing, shortestChain, 0, 0, 14, 16, 70
3, Lashaun, shortestChain, Lashaun, Errol, shortestChain, doubleDealing, 0, 0, 14, 17, 69
4, Darlene, doubleDealing, Milan, Darlene, heuristic, doubleDealing, 0, 0, 14, 18, 68
4, Susan, doubleDealing, Andres, Susan, doubleDealing, doubleDealing, 0, 0, 13, 18, 69
4, Lisa, doubleDealing, Lisa, Rudolph, doubleDealing, heuristic, 0, 0, 13, 18, 69
4, Delsie, doubleDealing, Yuonne, Delsie, shortestChain, doubleDealing, 0, 0, 12, 18, 70
4, Ernie, doubleDealing, Alice, Ernie, doubleDealing, doubleDealing, 0, 0, 12, 17, 71
4, Sharmaine, doubleDealing, Chanda, Sharmaine, doubleDealing, doubleDealing, 0, 0, 12, 17, 71
4, Celestine, shortestChain, Celestine, Stacey, shortestChain, doubleDealing, 0, 0, 12, 17, 71
4, Emelina, doubleDealing, Tinisha, Emelina, doubleDealing, doubleDealing, 0, 0, 12, 18, 70
4, Kenyatta, doubleDealing, Fallon, Kenyatta, heuristic, doubleDealing, 0, 0, 12, 18, 70
4, Jeremy, doubleDealing, Lynn, Jeremy, shortestChain, doubleDealing, 0, 0, 11, 18, 71
4, Julian, doubleDealing, Julian, Eugene, doubleDealing, doubleDealing, 0, 0, 11, 17, 72
4, Maura, doubleDealing, Janelle, Maura, heuristic, doubleDealing, 0, 0, 11, 17, 72
4, Coleman, doubleDealing, Coleman, Elva, doubleDealing, heuristic, 0, 0, 10, 17, 73
4, Mario, doubleDealing, Mario, Laurence, doubleDealing, shortestChain, 0, 0, 9, 17, 74
4, Jewel, doubleDealing, Marybelle, Jewel, doubleDealing, doubleDealing, 0, 0, 9, 16, 75
4, Lino, doubleDealing, Raymundo, Lino, doubleDealing, doubleDealing, 0, 0, 9, 16, 75
4, None, None, Lashaun, Kirby, shortestChain, doubleDealing, 0, 0, 9, 16, 75
4, None, None, Haley, Creola, doubleDealing, doubleDealing, 0, 0, 9, 16, 75
4, Audria, doubleDealing, Kermit, Audria, shortestChain, doubleDealing, 0, 0, 9, 16, 75
4, Alonso, doubleDealing, Alonso, Pat, doubleDealing, doubleDealing, 0, 0, 9, 15, 76
4, None, None, Chin, Melissa, doubleDealing, doubleDealing, 0, 0, 9, 15, 76
4, Joel, doubleDealing, Joel, Errol, doubleDealing, shortestChain, 0, 0, 9, 15, 76
4, Sonny, doubleDealing, Damion, Sonny, doubleDealing, doubleDealing, 0, 0, 9, 14, 77
4, Earl, doubleDealing, Leticia, Earl, doubleDealing, doubleDealing, 0, 0, 9, 14, 77
4, Elvera, doubleDealing, Elvera, Lorretta, doubleDealing, doubleDealing, 0, 0, 9, 14, 77
4, Shameka, doubleDealing, Shameka, Gerry, doubleDealing, heuristic, 0, 0, 9, 14, 77
4, Sachiko, doubleDealing, Sachiko, Hunter, doubleDealing, shortestChain, 0, 0, 8, 14, 78
4, Magaly, doubleDealing, Magaly, Roselia, doubleDealing, doubleDealing, 0, 0, 8, 13, 79
4, Andy, doubleDealing, Thurman, Andy, doubleDealing, doubleDealing, 0, 0, 8, 13, 79
4, Jerilyn, doubleDealing, Robby, Jerilyn, heuristic, doubleDealing, 0, 0, 8, 13, 79
4, None, None, Bobby, Madusa, heuristic, shortestChain, 0, 0, 7, 13, 80
4, Cupid, doubleDealing, Cherelle, Cupid, doubleDealing, doubleDealing, 0, 0, 7, 13, 80
4, Porter, doubleDealing, Porter, Ben, doubleDealing, shortestChain, 0, 0, 7, 13, 80
4, Merlin, doubleDealing, Merlin, Sean, doubleDealing, doubleDealing, 0, 0, 7, 12, 81
4, Jerica, doubleDealing, Jay, Jerica, shortestChain, doubleDealing, 0, 0, 7, 12, 81
4, Antonietta, shortestChain, Antonietta, Ellyn, shortestChain, shortestChain, 0, 0, 7, 11, 82
4, None, None, Orlando, Emerson, shortestChain, doubleDealing, 0, 0, 7, 11, 82
4, Marta, doubleDealing, Tyron, Marta, doubleDealing, doubleDealing, 0, 0, 7, 11, 82
4, David, shortestChain, Dong, David, heuristic, shortestChain, 0, 0, 7, 11, 82
4, Franklin, heuristic, Franklin, Galen, heuristic, shortestChain, 0, 0, 6, 12, 82
4, Magan, heuristic, Garland, Magan, doubleDealing, heuristic, 0, 0, 7, 11, 82
4, Doloris, doubleDealing, Doloris, Desmond, doubleDealing, heuristic, 0, 0, 8, 11, 81
4, Chara, doubleDealing, Chara, Leila, doubleDealing, doubleDealing, 0, 0, 7, 11, 82
4, Mitzie, doubleDealing, Mitzie, Jamey, doubleDealing, shortestChain, 0, 0, 7, 11, 82
4, Courtney, doubleDealing, Courtney, Maxine, doubleDealing, heuristic, 0, 0, 7, 10, 83
4, Alfreda, doubleDealing, Alfreda, Carson, doubleDealing, heuristic, 0, 0, 6, 10, 84
4, Sammy, doubleDealing, Merissa, Sammy, doubleDealing, doubleDealing, 0, 0, 5, 10, 85
4, Artie, doubleDealing, Artie, Sunny, doubleDealing, doubleDealing, 0, 0, 5, 10, 85
4, Guadalupe, doubleDealing, Chastity, Guadalupe, doubleDealing, doubleDealing, 0, 0, 5, 10, 85
4, Lasandra, shortestChain, Bill, Lasandra, doubleDealing, shortestChain, 0, 0, 5, 10, 85
5, Sharmaine, doubleDealing, Lynn, Sharmaine, doubleDealing, doubleDealing, 0, 0, 5, 11, 84
5, Coleman, doubleDealing, Tyron, Coleman, doubleDealing, doubleDealing, 0, 0, 5, 11, 84
5, Carson, doubleDealing, Carson, Roselia, doubleDealing, doubleDealing, 0, 0, 5, 11, 84
5, Jeremy, doubleDealing, Joel, Jeremy, doubleDealing, doubleDealing, 0, 0, 5, 11, 84
5, Sean, doubleDealing, Raymundo, Sean, doubleDealing, doubleDealing, 0, 0, 5, 11, 84
5, Kenyatta, doubleDealing, Kenyatta, Kermit, doubleDealing, doubleDealing, 0, 0, 5, 11, 84
5, Sonny, doubleDealing, Sonny, Lorretta, doubleDealing, doubleDealing, 0, 0, 5, 11, 84
5, Mario, doubleDealing, David, Mario, shortestChain, doubleDealing, 0, 0, 5, 11, 84
5, Shameka, doubleDealing, Shameka, Garland, doubleDealing, heuristic, 0, 0, 5, 10, 85
5, Susan, doubleDealing, Lino, Susan, doubleDealing, doubleDealing, 0, 0, 4, 10, 86
5, Alfreda, doubleDealing, Haley, Alfreda, doubleDealing, doubleDealing, 0, 0, 4, 10, 86
5, Delsie, doubleDealing, Maxine, Delsie, doubleDealing, doubleDealing, 0, 0, 4, 10, 86
5, Jewel, doubleDealing, Jewel, Jay, doubleDealing, doubleDealing, 0, 0, 4, 10, 86
5, Alice, doubleDealing, Alice, Franklin, doubleDealing, heuristic, 0, 0, 4, 10, 86
5, Mitzie, doubleDealing, Mitzie, Lashaun, doubleDealing, shortestChain, 0, 0, 3, 10, 87
5, Sammy, doubleDealing, Artie, Sammy, doubleDealing, doubleDealing, 0, 0, 3, 9, 88
5, Cherelle, doubleDealing, Cherelle, Gerry, doubleDealing, doubleDealing, 0, 0, 3, 9, 88
5, Thurman, doubleDealing, Melissa, Thurman, doubleDealing, doubleDealing, 0, 0, 3, 9, 88
5, Audria, doubleDealing, Eugene, Audria, doubleDealing, doubleDealing, 0, 0, 3, 9, 88
5, Lisa, doubleDealing, Robby, Lisa, doubleDealing, doubleDealing, 0, 0, 3, 9, 88
