Epoch, Winner, WinnerStrategy, Player, Opponent, playerStrategy, opponentStrategy, randomAmount, greedyAmount, heuristicsAmount, shortestChainAmount, doubleDealingAmount
3, Janelle, shortestChain, Janelle, Jeremy, shortestChain, doubleDealing, 0, 0, 18, 37, 45
3, Rudolph, doubleDealing, Milan, Rudolph, shortestChain, doubleDealing, 0, 0, 18, 38, 44
3, Alice, doubleDealing, Guadalupe, Alice, doubleDealing, doubleDealing, 0, 0, 18, 37, 45
3, Antonietta, shortestChain, Emerson, Antonietta, shortestChain, shortestChain, 0, 0, 18, 37, 45
3, Merissa, shortestChain, Merlin, Merissa, shortestChain, shortestChain, 0, 0, 18, 37, 45
3, Melissa, doubleDealing, Franklin, Melissa, heuristic, doubleDealing, 0, 0, 18, 37, 45
3, Elvera, shortestChain, Earl, Elvera, heuristic, shortestChain, 0, 0, 17, 37, 46
3, Susan, heuristic, Susan, Sharmaine, heuristic, heuristic, 0, 0, 16, 38, 46
3, Pat, shortestChain, Ellyn, Pat, doubleDealing, shortestChain, 0, 0, 16, 38, 46
3, Creola, doubleDealing, Shameka, Creola, shortestChain, doubleDealing, 0, 0, 16, 39, 45
3, Emelina, doubleDealing, Chanda, Emelina, doubleDealing, doubleDealing, 0, 0, 16, 38, 46
3, Sunny, doubleDealing, Raymundo, Sunny, heuristic, doubleDealing, 0, 0, 16, 38, 46
3, Audria, shortestChain, Sonny, Audria, doubleDealing, shortestChain, 0, 0, 15, 38, 47
3, Alonso, doubleDealing, Alonso, Marta, doubleDealing, shortestChain, 0, 0, 15, 39, 46
3, Jay, doubleDealing, Jay, Orlando, doubleDealing, heuristic, 0, 0, 15, 38, 47
3, Kirby, doubleDealing, Kirby, Darlene, doubleDealing, doubleDealing, 0, 0, 14, 38, 48
3, Jerica, heuristic, Jerica, Sean, heuristic, doubleDealing, 0, 0, 14, 38, 48
3, Celestine, doubleDealing, Celestine, Julian, doubleDealing, doubleDealing, 0, 0, 15, 38, 47
3, David, shortestChain, Delsie, David, shortestChain, shortestChain, 0, 0, 15, 38, 47
3, Lorretta, shortestChain, Lorretta, Carson, shortestChain, shortestChain, 0, 0, 15, 38, 47
3, Roselia, doubleDealing, Roselia, Tinisha, doubleDealing, shortestChain, 0, 0, 15, 38, 47
3, Bill, doubleDealing, Garland, Bill, doubleDealing, doubleDealing, 0, 0, 15, 37, 48
3, Lashaun, shortestChain, Lashaun, Maura, shortestChain, heuristic, 0, 0, 15, 37, 48
3, Kenyatta, doubleDealing, Haley, Kenyatta, shortestChain, doubleDealing, 0, 0, 14, 38, 48
3, Alfreda, doubleDealing, Alfreda, Mario, doubleDealing, shortestChain, 0, 0, 14, 37, 49
3, Cherelle, doubleDealing, Lisa, Cherelle, heuristic, doubleDealing, 0, 0, 14, 36, 50
3, Yuonne, heuristic, Sammy, Yuonne, shortestChain, heuristic, 0, 0, 13, 36, 51
3, Ernie, heuristic, Fallon, Ernie, shortestChain, heuristic, 0, 0, 14, 35, 51
3, None, None, Kermit, Cupid, doubleDealing, shortestChain, 0, 0, 15, 34, 51
3, Dong, doubleDealing, Elva, Dong, shortestChain, doubleDealing, 0, 0, 15, 34, 51
3, Joel, doubleDealing, Joel, Eugene, doubleDealing, shortestChain, 0, 0, 15, 33, 52
3, Coleman, doubleDealing, Doloris, Coleman, shortestChain, doubleDealing, 0, 0, 15, 32, 53
3, Artie, shortestChain, Artie, Bobby, shortestChain, shortestChain, 0, 0, 15, 31, 54
3, Thurman, doubleDealing, Jerilyn, Thurman, heuristic, doubleDealing, 0, 0, 15, 31, 54
3, Hunter, shortestChain, Jamey, Hunter, doubleDealing, shortestChain, 0, 0, 14, 31, 55
3, Stacey, doubleDealing, Stacey, Chastity, doubleDealing, doubleDealing, 0, 0, 14, 32, 54
3, Chin, doubleDealing, Andres, Chin, doubleDealing, doubleDealing, 0, 0, 14, 32, 54
3, Mitzie, heuristic, Mitzie, Lynn, heuristic, doubleDealing, 0, 0, 14, 32, 54
3, None, None, Robby, Magan, shortestChain, shortestChain, 0, 0, 15, 32, 53
3, Galen, shortestChain, Laurence, Galen, shortestChain, shortestChain, 0, 0, 15, 32, 53
3, Lino, heuristic, Lino, Marybelle, heuristic, doubleDealing, 0, 0, 15, 32, 53
3, Tyron, doubleDealing, Errol, Tyron, shortestChain, doubleDealing, 0, 0, 16, 32, 52
